  Unnamed: 0   Unnamed: 1   Unnamed: 2   Unnamed: 3   Unnamed: 4        Unnamed: 5   Unnamed: 6           Unnamed: 7   Unnamed: 8   Unnamed: 9   Unnamed: 10   Unnamed: 11   Unnamed: 12   Unnamed: 13   Unnamed: 14       Unnamed: 15   Unnamed: 16   Unnamed: 17
  ------------ ------------ ------------ ------------ ----------------- ------------ -------------------- ------------ ------------ ------------ ------------- ------------- ------------- ------------- ----------------- ------------- ------------- --------------------
                                                      Natural Diamond                                                                                                                                    Labmade Diamond                               
  Shape        Price        Carat        Cut          Color             Clarity      Price/Carat                                                               Shape         Price         Carat         Cut               Color         Clarity       Price/Carat
  PEAR         860          0.52         IDEAL        F                 SI1          1653.8461538461538                                                        PEAR          490           0.5           IDEAL             F             SI1           980
  PEAR         870          0.5          IDEAL        F                 VS2          1740                                                                      PEAR          580           0.58          IDEAL             F             VS2           1000.0000000000001
  PEAR         1020         0.51         IDEAL        F                 VS2          2000                                                                      PEAR          730           0.67          IDEAL             F             VS2           1089.55223880597
  PEAR         1040         0.53         IDEAL        F                 VS2          1962.264150943396                                                         PEAR          580           0.5           IDEAL             F             VS2           1160
  PEAR         920          0.5          IDEAL        F                 VS1          1840                                                                      PEAR          650           0.58          IDEAL             F             VS1           1120.689655172414
  PEAR         980          0.57         IDEAL        F                 VS1          1719.2982456140353                                                        PEAR          620           0.61          IDEAL             F             VS1           1016.3934426229508
  PEAR         1030         0.55         IDEAL        F                 VS1          1872.7272727272725                                                        PEAR          560           0.5           IDEAL             F             VS1           1120
  PEAR         960          0.5          IDEAL        F                 VVS2         1920                                                                      PEAR          630           0.61          IDEAL             F             VVS2          1032.7868852459017
  PEAR         1120         0.52         IDEAL        F                 VVS2         2153.846153846154                                                         PEAR          540           0.52          IDEAL             F             VVS2          1038.4615384615383
  PEAR         1190         0.6          IDEAL        F                 VVS2         1983.3333333333335                                                        PEAR          530           0.51          IDEAL             F             VVS2          1039.2156862745098
  PEAR         1000         0.5          IDEAL        F                 VVS1         2000                                                                      PEAR          550           0.52          IDEAL             F             VVS1          1057.6923076923076
  PEAR         1160         0.61         IDEAL        F                 VVS1         1901.639344262295                                                         PEAR          800           0.66          IDEAL             F             VVS1          1212.121212121212
  PEAR         1160         0.52         IDEAL        F                 VVS1         2230.7692307692305                                                        PEAR          630           0.5           IDEAL             F             VVS1          1260
  PEAR         1200         0.51         IDEAL        F                 IF           2352.9411764705883                                                        PEAR          730           0.51          IDEAL             F             IF            1431.3725490196077
  PEAR         1240         0.5          IDEAL        F                 IF           2480                                                                      OVAL          930           0.57          IDEAL             F             IF            1631.5789473684213
  PEAR         1390         0.55         IDEAL        F                 IF           2527.272727272727                                                         PEAR          650           0.51          IDEAL             F             IF            1274.5098039215686
  PEAR         720          0.6          IDEAL        G                 SI2          1200                                                                      PEAR          490           0.5           IDEAL             G             SI2           980
  PEAR         750          0.52         IDEAL        G                 SI2          1442.3076923076922                                                        PEAR          500           0.52          IDEAL             G             SI2           961.5384615384615
  PEAR         870          0.5          IDEAL        G                 SI2          1740                                                                      PEAR          500           0.5           IDEAL             G             SI2           1000
  PEAR         750          0.5          IDEAL        G                 SI1          1500                                                                      PEAR          620           0.65          IDEAL             G             SI1           953.8461538461538
  PEAR         780          0.52         IDEAL        G                 SI1          1500                                                                      PEAR          500           0.5           IDEAL             G             SI1           1000
  PEAR         830          0.51         IDEAL        G                 SI1          1627.450980392157                                                         PEAR          490           0.5           IDEAL             G             SI1           980
  PEAR         870          0.5          IDEAL        G                 VS2          1740                                                                      PEAR          530           0.5           IDEAL             G             VS2           1060
  PEAR         930          0.51         IDEAL        G                 VS2          1823.5294117647059                                                        PEAR          520           0.51          IDEAL             G             VS2           1019.6078431372549
  PEAR         940          0.52         IDEAL        G                 VS2          1807.6923076923076                                                        PEAR          510           0.5           IDEAL             G             VS2           1020
  PEAR         900          0.5          IDEAL        G                 VS1          1800                                                                      PEAR          590           0.58          IDEAL             G             VS1           1017.2413793103449
  PEAR         950          0.52         IDEAL        G                 VS1          1826.923076923077                                                         PEAR          560           0.5           IDEAL             G             VS1           1120
  PEAR         960          0.51         IDEAL        G                 VS1          1882.3529411764705                                                        PEAR          570           0.56          IDEAL             G             VS1           1017.8571428571428
  PEAR         840          0.51         IDEAL        G                 VVS2         1647.0588235294117                                                        PEAR          620           0.6           IDEAL             G             VVS2          1033.3333333333335
  PEAR         1050         0.5          IDEAL        G                 VVS2         2100                                                                      PEAR          540           0.53          IDEAL             G             VVS2          1018.8679245283018
  PEAR         1110         0.51         IDEAL        G                 VVS2         2176.470588235294                                                         PEAR          520           0.51          IDEAL             G             VVS2          1019.6078431372549
  PEAR         970          0.5          IDEAL        G                 VVS1         1940                                                                      PEAR          510           0.5           IDEAL             G             VVS1          1020
  PEAR         1000         0.51         IDEAL        G                 VVS1         1960.7843137254902                                                        PEAR          590           0.51          IDEAL             G             VVS1          1156.862745098039
  PEAR         1150         0.6          IDEAL        G                 VVS1         1916.6666666666667                                                        PEAR          690           0.6           IDEAL             G             VVS1          1150
  PEAR         1040         0.5          IDEAL        G                 IF           2080                                                                      EMERALD       505           0.55          IDEAL             G             IF            918.1818181818181
  PEAR         1230         0.54         IDEAL        G                 IF           2277.777777777778                                                         PEAR          0             0             IDEAL             G             IF            0
  PEAR         1360         0.52         IDEAL        G                 IF           2615.3846153846152                                                        PEAR          0             0             IDEAL             G             IF            0
  PEAR         750          0.5          IDEAL        H                 SI2          1500                                                                      PEAR          480           0.5           IDEAL             H             SI2           960
  PEAR         840          0.52         IDEAL        H                 SI2          1615.3846153846152                                                        PEAR          550           0.6           IDEAL             H             SI2           916.6666666666667
